Epoch,Midtime,Midtime_err_minus_days,Midtime_err_plus_days,Midtime_err_minus_sec,Midtime_err_plus_sec,Source
-3080,2454632.73289,0.00073,0.00073,63.07,63.07,2018AcA....68..371M; 2011ApJ...742..116B
-3009,2454718.84863,0.00048,0.00048,41.47,41.47,2018AcA....68..371M; 2011ApJ...742..116B
-3005,2454723.69918,0.00039,0.00039,33.7,33.7,2018AcA....68..371M; 2011ApJ...742..116B
-2963,2454774.6412,0.00056,0.00056,48.38,48.38,2018AcA....68..371M; 2011ApJ...742..116B
-2899,2454852.265406024,0.00018,0.00018,15.55,15.55,G. A. Bakos et al. 2010
-2825,2454942.01919,0.00088,0.00088,76.03,76.03,2018AcA....68..371M; 2011ApJ...742..116B
-2755,2455026.92065,0.00044,0.00044,38.02,38.02,2018AcA....68..371M; 2011ApJ...742..116B
-2187,2455715.84171,0.00101,0.00101,87.26,87.26,2018AcA....68..371M; 2013RMxAA..49...71R
-2170,2455736.4608260226,0.00086,0.00086,74.3,74.3,TRESCA
-2136,2455777.6976,0.0014,0.0014,120.96,120.96,2018AcA....68..371M; 2013RMxAA..49...71R
-2131,2455783.7623060076,0.00051,0.00051,44.06,44.06,TRESCA
-2126,2455789.826,0.0011,0.0011,95.04,95.04,2018AcA....68..371M; 2013RMxAA..49...71R
-2123,2455793.4651,0.0012,0.0012,103.68,103.68,2018AcA....68..371M; 2015A&A...577A..54C
-2122,2455794.6779,0.0012,0.0012,103.68,103.68,2018AcA....68..371M; 2013RMxAA..49...71R
-1845,2456130.64792,0.00051,0.00051,44.06,44.06,2018AcA....68..371M; 2015A&A...577A..54C
-1841,2456135.49891,0.00023,0.00023,19.87,19.87,2018AcA....68..371M; 2015A&A...577A..54C
-1807,2456176.73833,0.00102,0.00102,88.13,88.13,2018AcA....68..371M; 2016PASP..128b4402S
-1793,2456193.716,0.0011,0.0011,95.04,95.04,2018AcA....68..371M; 2016PASP..128b4402S
-1784,2456204.6345,0.0011,0.0011,95.04,95.04,2018AcA....68..371M; 2016PASP..128b4402S
-1779,2456210.7004,0.0015,0.0015,129.6,129.6,2018AcA....68..371M; 2016PASP..128b4402S
-1573,2456460.55214,0.0004,0.0004,34.56,34.56,2018AcA....68..371M; 2015A&A...577A..54C
-1559,2456477.53307,0.00027,0.00027,23.33,23.33,2018AcA....68..371M; 2015A&A...577A..54C
-1540,2456500.57644,0.0009,0.0009,77.76,77.76,2018AcA....68..371M; 2015A&A...577A..54C
-1536,2456505.42925,0.00044,0.00044,38.02,38.02,2018AcA....68..371M; 2015A&A...577A..54C
-1530,2456512.70704,0.00103,0.00103,88.99,88.99,2018AcA....68..371M; 2016PASP..128b4402S
-1508,2456539.39051,0.00026,0.00026,22.46,22.46,2018AcA....68..371M; 2015A&A...577A..54C
-1215,2456894.7664,0.001,0.001,86.4,86.4,2018AcA....68..371M; 2016PASP..128b4402S
-1201,2456911.7469,0.0013,0.0013,112.32,112.32,2018AcA....68..371M; 2016PASP..128b4402S
-907,2457268.3360391506,0.00049,0.00049,42.34,42.34,TRESCA
-676,2457548.5130291744,0.00052,0.00052,44.93,44.93,TRESCA
-662,2457565.492829169,0.00055,0.00055,47.52,47.52,TRESCA
-657,2457571.55693,0.00026,0.00026,22.46,22.46,2018AcA....68..371M
-643,2457588.5370291616,0.00028,0.00028,24.19,24.19,TRESCA
-634,2457599.4546591584,0.00057,0.00057,49.25,49.25,TRESCA
-615,2457622.49765,0.00034,0.00034,29.38,29.38,2018AcA....68..371M
